,dataset,threshold,method,count
193,mutag,0.89,fixed combinations,6
194,mutag,0.92,fixed combinations,1
195,mutag,0.95,fixed combinations,0
196,mutag,0.86,dynamic-probsonly no-combinations,379
197,mutag,0.89,dynamic-probsonly no-combinations,129
198,mutag,0.92,dynamic-probsonly no-combinations,26
199,mutag,0.95,dynamic-probsonly no-combinations,1
200,mutag,0.86,dynamic-probsonly combinations,24
201,mutag,0.89,dynamic-probsonly combinations,4
202,mutag,0.92,dynamic-probsonly combinations,1
203,mutag,0.95,dynamic-probsonly combinations,0
204,mutag,0.86,dynamic-both no-combinations,516
205,mutag,0.89,dynamic-both no-combinations,455
206,mutag,0.92,dynamic-both no-combinations,370
207,mutag,0.95,dynamic-both no-combinations,121
208,mutag,0.86,dynamic-both combinations,442
209,mutag,0.89,dynamic-both combinations,313
210,mutag,0.92,dynamic-both combinations,126
211,mutag,0.95,dynamic-both combinations,5
212,mutag,0.86,random,189
213,mutag,0.89,random,133
214,mutag,0.92,random,77
215,mutag,0.95,random,6
216,cox2,0.84,basic no-combinations,418
217,cox2,0.86,basic no-combinations,185
218,cox2,0.88,basic no-combinations,36
219,cox2,0.9,basic no-combinations,0
220,cox2,0.84,basic combinations,32
221,cox2,0.86,basic combinations,4
222,cox2,0.88,basic combinations,0
223,cox2,0.9,basic combinations,0
224,cox2,0.84,fixed no-combinations,131
225,cox2,0.86,fixed no-combinations,21
226,cox2,0.88,fixed no-combinations,2
227,cox2,0.9,fixed no-combinations,0
228,cox2,0.84,fixed combinations,331
229,cox2,0.86,fixed combinations,150
230,cox2,0.88,fixed combinations,38
231,cox2,0.9,fixed combinations,3
232,cox2,0.84,dynamic-probsonly no-combinations,343
233,cox2,0.86,dynamic-probsonly no-combinations,187
234,cox2,0.88,dynamic-probsonly no-combinations,54
235,cox2,0.9,dynamic-probsonly no-combinations,5
236,cox2,0.84,dynamic-probsonly combinations,2
237,cox2,0.86,dynamic-probsonly combinations,0
238,cox2,0.88,dynamic-probsonly combinations,0
239,cox2,0.9,dynamic-probsonly combinations,0
240,cox2,0.84,dynamic-both no-combinations,91
241,cox2,0.86,dynamic-both no-combinations,33
242,cox2,0.88,dynamic-both no-combinations,7
243,cox2,0.9,dynamic-both no-combinations,1
244,cox2,0.84,dynamic-both combinations,519
245,cox2,0.86,dynamic-both combinations,379
246,cox2,0.88,dynamic-both combinations,207
247,cox2,0.9,dynamic-both combinations,80
248,cox2,0.84,random,174
249,cox2,0.86,random,64
250,cox2,0.88,random,8
251,cox2,0.9,random,2
252,bzr,0.82,basic no-combinations,156
253,bzr,0.84,basic no-combinations,36
254,bzr,0.86,basic no-combinations,11
255,bzr,0.88,basic no-combinations,2
256,bzr,0.82,basic combinations,562
257,bzr,0.84,basic combinations,411
258,bzr,0.86,basic combinations,300
259,bzr,0.88,basic combinations,66
260,bzr,0.82,fixed no-combinations,432
261,bzr,0.84,fixed no-combinations,217
262,bzr,0.86,fixed no-combinations,125
263,bzr,0.88,fixed no-combinations,17
264,bzr,0.82,fixed combinations,246
265,bzr,0.84,fixed combinations,78
266,bzr,0.86,fixed combinations,36
267,bzr,0.88,fixed combinations,3
268,bzr,0.82,dynamic-probsonly no-combinations,166
269,bzr,0.84,dynamic-probsonly no-combinations,45
270,bzr,0.86,dynamic-probsonly no-combinations,19
271,bzr,0.88,dynamic-probsonly no-combinations,1
272,bzr,0.82,dynamic-probsonly combinations,469
273,bzr,0.84,dynamic-probsonly combinations,290
274,bzr,0.86,dynamic-probsonly combinations,201
275,bzr,0.88,dynamic-probsonly combinations,60
276,bzr,0.82,dynamic-both no-combinations,75
277,bzr,0.84,dynamic-both no-combinations,14
278,bzr,0.86,dynamic-both no-combinations,3
279,bzr,0.88,dynamic-both no-combinations,0
280,bzr,0.82,dynamic-both combinations,172
281,bzr,0.84,dynamic-both combinations,53
282,bzr,0.86,dynamic-both combinations,25
283,bzr,0.88,dynamic-both combinations,4
284,bzr,0.82,random,519
285,bzr,0.84,random,417
286,bzr,0.86,random,301
287,bzr,0.88,random,86
